state_code,state_name,municipality_code,municipality_name,num_fosas_total,num_cuerpos_total
28,Tamaulipas,035,San Fernando,139,0
12,Guerrero,001,Acapulco de Juárez,107,87
25,Sinaloa,001,Ahome,65,70
08,Chihuahua,037,Juárez,58,143
12,Guerrero,055,Taxco de Alarcón,28,90
25,Sinaloa,010,El Fuerte,25,24
26,Sonora,043,Nogales,25,44
32,Zacatecas,010,Fresnillo,22,25
28,Tamaulipas,013,Güémez,21,0
32,Zacatecas,005,Calera,21,9
08,Chihuahua,005,Ascensión,20,50
05,Coahuila de Zaragoza,035,Torreón,19,22
24,San Luis Potosí,028,San Luis Potosí,18,4
30,Veracruz de Ignacio de la Llave,133,Pueblo Viejo,17,20
08,Chihuahua,017,Cuauhtémoc,16,30
19,Nuevo León,031,Juárez,16,80
30,Veracruz de Ignacio de la Llave,204,Agua Dulce,15,15
16,Michoacán de Ocampo,052,Lázaro Cárdenas,14,20
28,Tamaulipas,041,Victoria,14,0
32,Zacatecas,039,Río Grande,14,7
03,Baja California Sur,003,La Paz,13,21
16,Michoacán de Ocampo,034,Hidalgo,13,16
28,Tamaulipas,024,Mier,13,0
08,Chihuahua,019,Chihuahua,12,15
10,Durango,005,Durango,12,357
14,Jalisco,097,Tlajomulco de Zúñiga,12,20
19,Nuevo León,018,García,12,10
25,Sinaloa,012,Mazatlán,12,31
30,Veracruz de Ignacio de la Llave,207,Tres Valles,12,33
12,Guerrero,028,Chilapa de Álvarez,11,28
12,Guerrero,075,Eduardo Neri,11,14
12,Guerrero,036,Igualapa,11,0
28,Tamaulipas,022,Matamoros,11,0
32,Zacatecas,035,Noria de Ángeles,11,0
32,Zacatecas,016,General Pánfilo Natera,11,2
08,Chihuahua,028,Guadalupe,10,22
08,Chihuahua,027,Guachochi,10,20
14,Jalisco,080,San Sebastián del Oeste,10,13
14,Jalisco,017,Ayutla,10,11
19,Nuevo León,009,Cadereyta Jiménez,10,2
28,Tamaulipas,019,Llera,10,0
28,Tamaulipas,016,Hidalgo,10,0
30,Veracruz de Ignacio de la Llave,097,Lerdo de Tejada,10,5
30,Veracruz de Ignacio de la Llave,003,Acayucan,10,11
12,Guerrero,029,Chilpancingo de los Bravo,9,11
19,Nuevo León,045,Salinas Victoria,9,0
26,Sonora,029,Guaymas,9,5
08,Chihuahua,053,Praxedis G. Guerrero,8,16
14,Jalisco,034,Ejutla,8,13
19,Nuevo León,033,Linares,8,4
24,San Luis Potosí,024,Rioverde,8,6
25,Sinaloa,006,Culiacán,8,13
26,Sonora,030,Hermosillo,8,7
28,Tamaulipas,030,Padilla,8,0
08,Chihuahua,055,Rosales,7,12
12,Guerrero,068,La Unión de Isidoro Montes de Oca,7,3
14,Jalisco,098,San Pedro Tlaquepaque,7,13
14,Jalisco,067,Puerto Vallarta,7,6
16,Michoacán de Ocampo,102,Uruapan,7,24
18,Nayarit,017,Tepic,7,26
25,Sinaloa,018,Navolato,7,10
26,Sonora,018,Cajeme,7,7
28,Tamaulipas,025,Miguel Alemán,7,0
28,Tamaulipas,034,San Carlos,7,0
28,Tamaulipas,043,Xicoténcatl,7,0
30,Veracruz de Ignacio de la Llave,124,Papantla,7,7
30,Veracruz de Ignacio de la Llave,039,Coatzacoalcos,7,15
04,Campeche,003,Carmen,6,7
05,Coahuila de Zaragoza,030,Saltillo,6,6
08,Chihuahua,009,Bocoyna,6,16
08,Chihuahua,031,Guerrero,6,14
10,Durango,026,San Dimas,6,0
12,Guerrero,058,Teloloapan,6,12
12,Guerrero,034,Huitzuco de los Figueroa,6,5
18,Nayarit,008,Xalisco,6,12
19,Nuevo León,048,Santa Catarina,6,4
19,Nuevo León,044,Sabinas Hidalgo,6,0
28,Tamaulipas,003,Altamira,6,0
28,Tamaulipas,027,Nuevo Laredo,6,0
30,Veracruz de Ignacio de la Llave,048,Cosoleacaque,6,7
30,Veracruz de Ignacio de la Llave,045,Cosamaloapan de Carpio,6,9
32,Zacatecas,037,Pánuco,6,7
32,Zacatecas,057,Trancoso,6,10
14,Jalisco,065,Pihuamo,5,5
14,Jalisco,033,Degollado,5,9
14,Jalisco,030,Chapala,5,6
14,Jalisco,022,Cihuatlán,5,9
16,Michoacán de Ocampo,002,Aguililla,5,3
16,Michoacán de Ocampo,046,Juárez,5,6
24,San Luis Potosí,021,Mexquitic de Carmona,5,0
25,Sinaloa,011,Guasave,5,8
26,Sonora,025,Empalme,5,8
26,Sonora,019,Cananea,5,7
30,Veracruz de Ignacio de la Llave,054,Chacaltianguis,5,7
32,Zacatecas,020,Jerez,5,4
15,México,103,Tlalmanalco,5,8
08,Chihuahua,045,Meoqui,4,5
08,Chihuahua,018,Cusihuiriachi,4,5
12,Guerrero,074,Zitlala,4,50
14,Jalisco,049,Jilotlán de los Dolores,4,6
14,Jalisco,044,Ixtlahuacán de los Membrillos,4,7
14,Jalisco,120,Zapopan,4,21
19,Nuevo León,011,Cerralvo,4,1
19,Nuevo León,039,Monterrey,4,1
24,San Luis Potosí,035,Soledad de Graciano Sánchez,4,1
24,San Luis Potosí,011,Ciudad Fernández,4,2
24,San Luis Potosí,055,Zaragoza,4,0
26,Sonora,002,Agua Prieta,4,3
26,Sonora,058,Santa Ana,4,3
30,Veracruz de Ignacio de la Llave,061,Las Choapas,4,6
30,Veracruz de Ignacio de la Llave,089,Jáltipan,4,5
30,Veracruz de Ignacio de la Llave,128,Perote,4,6
30,Veracruz de Ignacio de la Llave,011,Alvarado,4,10
32,Zacatecas,029,Miguel Auza,4,0
32,Zacatecas,054,Villa Hidalgo,4,0
32,Zacatecas,049,Valparaíso,4,1
32,Zacatecas,038,Pinos,4,0
32,Zacatecas,017,Guadalupe,4,3
05,Coahuila de Zaragoza,031,San Buenaventura,3,5
08,Chihuahua,052,Ojinaga,3,3
08,Chihuahua,029,Guadalupe y Calvo,3,3
12,Guerrero,056,Tecoanapa,3,4
14,Jalisco,076,San Martín de Bolaños,3,4
14,Jalisco,012,Atenguillo,3,3
14,Jalisco,091,Teocaltiche,3,4
14,Jalisco,053,Lagos de Moreno,3,5
14,Jalisco,008,Arandas,3,8
14,Jalisco,085,Tamazula de Gordiano,3,6
14,Jalisco,043,La Huerta,3,5
16,Michoacán de Ocampo,038,Huetamo,3,0
16,Michoacán de Ocampo,047,Jungapeo,3,1
16,Michoacán de Ocampo,112,Zitácuaro,3,6
16,Michoacán de Ocampo,110,Zinapécuaro,3,3
16,Michoacán de Ocampo,006,Apatzingán,3,15
16,Michoacán de Ocampo,050,Maravatío,3,1
19,Nuevo León,038,Montemorelos,3,1
19,Nuevo León,050,Vallecillo,3,0
19,Nuevo León,005,Anáhuac,3,5
19,Nuevo León,016,Doctor González,3,0
19,Nuevo León,034,Marín,3,0
19,Nuevo León,037,Mina,3,4
19,Nuevo León,010,El Carmen,3,2
19,Nuevo León,017,Galeana,3,0
20,Oaxaca,310,San Pedro Ixtlahuaca,3,4
23,Quintana Roo,004,Othón P. Blanco,3,6
24,San Luis Potosí,008,Cerritos,3,0
25,Sinaloa,017,Sinaloa,3,3
25,Sinaloa,008,Elota,3,4
25,Sinaloa,016,San Ignacio,3,4
26,Sonora,017,Caborca,3,1
26,Sonora,042,Navojoa,3,0
28,Tamaulipas,014,Guerrero,3,0
28,Tamaulipas,001,Abasolo,3,0
30,Veracruz de Ignacio de la Llave,059,Chinameca,3,3
30,Veracruz de Ignacio de la Llave,208,Carlos A. Carrillo,3,5
