year,num_fosas,num_fosas_change,num_cuerpos,num_cuerpos_change
2006,2,0,7,0
2007,8,300.0,14,100.0
2008,11,37.5,9,-35.714285714285715
2009,28,154.54545454545453,51,466.6666666666667
2010,64,128.57142857142858,208,307.843137254902
2011,169,164.0625,518,149.03846153846155
2012,189,11.834319526627219,210,-59.45945945945946
2013,186,-1.5873015873015872,234,11.428571428571429
2014,268,44.086021505376344,329,40.598290598290596
2015,170,-36.56716417910448,202,-38.60182370820669
2016,170,0.0,170,-15.841584158415841
